problem,family,run,seed,seedIndex,generation,FE,source,seedFeasible,prob,absProbHalf,queryScore,disagreement,paretoValue,reliability,boundaryTrust,utility,localEvalCount,feasibleForwardSuccess,ubySuccess,frrSuccess,initialBracketGap,bracketGap,shrinkSuccess,tightSuccess,hardNegativeConfirmed,tightenBracket,tightBracket,m2Success,m3Success,m3Downstream,m4Success,m4Tight,m4Recover
MW1_BC,MW_BC,1,1703,1,63,12802,1,0,0.5,0,1,0,0,1,1,0,1,0,0,0,0.02,0.000666561473049822,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,2,66,13404,1,0,0.5,0,1,0,0,1,1,0,1,0,0,0,0.02,0.00217373261928061,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,3,71,14406,1,1,0.5,0,1,0,0,1,1,0,1,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,4,74,15010,1,0,0.5,0,1,0,0,1,1,0,1,0,0,0,0.02,0.00758759722963809,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,5,74,15010,1,0,0.5,0,1,0,0,1,1,0,1,0,0,0,0.02,0.00921985452901129,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,6,75,15214,1,0,0.5,0,1,0,0,1,1,0,1,0,0,1,0.02,0.000586643435521265,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,7,75,15214,1,0,0.5,0,1,0,0,1,1,0,1,0,0,0,0.02,0.00262049245571859,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,8,76,15418,1,0,0.508103146570565,0.00810314657056488,0.98379370685887,0.00389120603743549,0,1,0.98379370685887,0,1,0,0,1,0.02,0.000727425995536192,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,9,76,15418,1,0,0.486536427203631,0.0134635727963691,0.973072854407262,0.000444058874477085,0,1,0.973072854407262,0,1,0,0,0,0.02,0.00213884774125049,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,10,77,15624,1,0,0.485352953441849,0.0146470465581505,0.970705906883699,7.96209142460392e-05,0,1,0.970705906883699,0,1,0,0,0,0.02,0.00637129302308445,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,11,77,15624,1,0,0.490308466262553,0.00969153373744708,0.980616932525106,0.00723848796197777,0,1,0.980616932525106,0,1,0,0,0,0.02,0.00250378936894902,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,12,77,15624,1,1,0.506724982043115,0.00672498204311467,0.986550035913771,0.00794746994976417,0,1,0.986550035913771,0,1,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,13,79,16026,1,0,0.503223921005568,0.00322392100556801,0.993552157988864,0.00538331163341714,0,1,0.993552157988864,0,1,0,0,0,0.02,0.00460078724845926,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,14,80,16232,1,0,0.517191042728364,0.0171910427283637,0.965617914543273,6.77188750911714e-05,0,1,0.965617914543273,0,1,0,0,0,0.02,0.00131540975676325,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,15,80,16232,1,0,0.470213876569681,0.0297861234303187,0.940427753139363,0.0023354934841265,0,1,0.940427753139363,0,1,0,0,0,0.02,0.00307107689742197,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,16,80,16232,1,0,0.494686742380797,0.00531325761920337,0.989373484761593,0.00240442588189142,0,1,0.989373484761593,0,1,0,0,0,0.02,0.0040523920409318,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,17,81,16434,1,0,0.497330332645148,0.00266966735485169,0.994660665290297,0.00707107058567499,0,1,0.994660665290297,0,1,0,0,0,0.02,0.00165289465694906,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,18,82,16636,1,1,0.490902990255939,0.00909700974406097,0.981805980511878,0.00455637166987216,0,1,0.981805980511878,0,1,1,1,0,NaN,NaN,0,0,0,0,0,1,1,1,0,0,0
MW1_BC,MW_BC,1,1703,19,83,16840,1,0,0.498180684151093,0.00181931584890699,0.996361368302186,0.00046742600757574,0,1,0.996361368302186,0,1,0,0,0,0.02,0.00161483166900281,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,20,83,16840,1,1,0.502066846237584,0.00206684623758424,0.995866307524832,6.42563460119268e-05,0,1,0.995866307524832,0,1,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,21,84,17044,1,1,0.477736883582834,0.0222631164171656,0.955473767165669,0.00319120084720529,0,1,0.955473767165669,0,1,1,1,0,NaN,NaN,0,0,0,0,0,1,1,1,0,0,0
MW1_BC,MW_BC,1,1703,22,84,17044,1,0,0.502348620993806,0.00234862099380617,0.995302758012388,0.00244278374222154,0,1,0.995302758012388,0,1,0,0,0,0.02,0.000752540312119938,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,23,85,17250,1,1,0.449907269361312,0.0500927306386879,0.899814538722624,0.00516690010800988,0,1,0.899814538722624,0,1,1,1,0,NaN,NaN,0,0,0,0,0,1,1,1,0,0,0
MW1_BC,MW_BC,1,1703,24,85,17250,1,1,0.486621957561616,0.013378042438384,0.973243915123232,0.00079711036144686,0,1,0.973243915123232,0,1,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,25,85,17250,1,1,0.460666175746071,0.0393338242539293,0.921332351492141,0.00471819494630567,0,1,0.921332351492141,0,1,1,1,0,NaN,NaN,0,0,0,0,0,1,1,1,0,0,0
MW1_BC,MW_BC,1,1703,26,86,17454,1,0,0.483112482345553,0.0168875176544475,0.966224964691105,0.00127104836924009,0,1,0.966224964691105,0,1,0,0,0,0.02,0.00464348195126336,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,27,86,17454,1,0,0.502865486383572,0.00286548638357198,0.994269027232856,0.00122616650481594,0,1,0.994269027232856,0,1,0,0,0,0.02,0.00583535254869795,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,28,87,17662,1,1,0.512297164663995,0.0122971646639954,0.975405670672009,6.30656078474928e-05,0,1,0.975405670672009,0,1,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
