problem,family,run,seed,candidateIndex,generation,FE,source,selectionMode,sector,eligible,selected,prob,absProbHalf,queryScore,disagreement,reliability,paretoValue,boundaryTrust,trustWeight,utility,shortlisted
MW1_BC,MW_BC,1,1703,1,63,12802,1,5,34,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,2,65,13202,1,5,31,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,3,66,13404,1,5,30,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,4,67,13604,1,5,29,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,5,70,14204,1,5,28,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,6,71,14406,1,5,77,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,7,72,14606,1,5,26,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,8,73,14806,1,5,26,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,9,74,15010,1,5,26,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,10,74,15010,1,5,89,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,11,74,15010,1,5,75,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,12,75,15214,1,5,26,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,13,75,15214,1,5,10,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,14,75,15214,1,5,24,1,1,0.5,0,1,0,1,0,1,0,0,1
MW1_BC,MW_BC,1,1703,15,75,15214,1,5,91,0,0,0.5,0,1,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,16,76,15418,1,5,25,0,0,0.50618700678487,0.00618700678487016,0.98762598643026,0.00213101186439726,1,0,0.98762598643026,0,0,0
MW1_BC,MW_BC,1,1703,17,76,15418,1,5,24,0,0,0.460363669923355,0.0396363300766452,0.92072733984671,0.00123922544668806,1,0,0.92072733984671,0,0,0
MW1_BC,MW_BC,1,1703,18,76,15418,1,5,26,0,0,0.482855673147893,0.0171443268521074,0.965711346295785,0.000140786967024739,1,0,0.965711346295785,0,0,0
MW1_BC,MW_BC,1,1703,19,76,15418,1,5,1,1,1,0.508103146570565,0.00810314657056488,0.98379370685887,0.00389120603743549,1,0,0.98379370685887,0,0,1
MW1_BC,MW_BC,1,1703,20,76,15418,1,5,11,1,1,0.486536427203631,0.0134635727963691,0.973072854407262,0.000444058874477085,1,0,0.973072854407262,0,0,1
MW1_BC,MW_BC,1,1703,21,76,15418,1,5,91,0,0,0.50452708000239,0.00452708000238988,0.99094583999522,0.00290799586508442,1,0,0.99094583999522,0,0,0
MW1_BC,MW_BC,1,1703,22,77,15624,1,5,86,1,1,0.485352953441849,0.0146470465581505,0.970705906883699,7.96209142460392e-05,1,0,0.970705906883699,0,0,1
MW1_BC,MW_BC,1,1703,23,77,15624,1,5,1,0,0,0.520061795596642,0.0200617955966425,0.959876408806715,0.00243182829253377,1,0,0.959876408806715,0,0,0
MW1_BC,MW_BC,1,1703,24,77,15624,1,5,25,1,1,0.490308466262553,0.00969153373744708,0.980616932525106,0.00723848796197777,1,0,0.980616932525106,0,0,1
MW1_BC,MW_BC,1,1703,25,77,15624,1,5,23,0,0,0.471100001942017,0.0288999980579827,0.942200003884035,0.00194809584955753,1,0,0.942200003884035,0,0,0
MW1_BC,MW_BC,1,1703,26,77,15624,1,5,11,0,0,0.497970228289805,0.00202977171019514,0.99594045657961,0.00148611872076476,1,0,0.99594045657961,0,0,0
MW1_BC,MW_BC,1,1703,27,77,15624,1,5,73,1,1,0.506724982043115,0.00672498204311467,0.986550035913771,0.00794746994976417,1,0,0.986550035913771,0,0,1
MW1_BC,MW_BC,1,1703,28,77,15624,1,5,87,0,0,0.506388426778186,0.00638842677818596,0.987223146443628,0.0013362497207952,1,0,0.987223146443628,0,0,0
MW1_BC,MW_BC,1,1703,29,78,15824,1,5,86,0,0,0.518633442483024,0.018633442483024,0.962733115033952,0.00128116034144295,1,0,0.962733115033952,0,0,0
MW1_BC,MW_BC,1,1703,30,78,15824,1,5,1,0,0,0.529614521618029,0.0296145216180292,0.940770956763942,0.00204876089204914,1,0,0.940770956763942,0,0,0
MW1_BC,MW_BC,1,1703,31,78,15824,1,5,25,0,0,0.487489051134162,0.0125109488658384,0.974978102268323,0.00708795775380985,1,0,0.974978102268323,0,0,0
MW1_BC,MW_BC,1,1703,32,78,15824,1,5,23,0,0,0.475099755721009,0.024900244278991,0.950199511442018,0.00236074626767802,1,0,0.950199511442018,0,0,0
MW1_BC,MW_BC,1,1703,33,78,15824,1,5,11,0,0,0.497172192056853,0.00282780794314719,0.994344384113706,0.00216115212177422,1,0,0.994344384113706,0,0,0
MW1_BC,MW_BC,1,1703,34,78,15824,1,5,26,0,0,0.497905625638951,0.00209437436104909,0.995811251277902,0.00113594807289418,1,0,0.995811251277902,0,0,0
MW1_BC,MW_BC,1,1703,35,78,15824,1,5,87,0,0,0.504311897209961,0.00431189720996128,0.991376205580077,0.00151572561421399,1,0,0.991376205580077,0,0,0
MW1_BC,MW_BC,1,1703,36,79,16026,1,5,1,0,0,0.496692888990896,0.00330711100910402,0.993385777981792,0.00524590981686664,1,0,0.993385777981792,0,0,0
MW1_BC,MW_BC,1,1703,37,79,16026,1,5,86,0,0,0.500062973272142,6.29732721422194e-05,0.999874053455716,0.00305444866788525,1,0,0.999874053455716,0,0,0
MW1_BC,MW_BC,1,1703,38,79,16026,1,5,25,0,0,0.493596461325863,0.00640353867413651,0.987192922651727,0.00740854389914432,1,0,0.987192922651727,0,0,0
MW1_BC,MW_BC,1,1703,39,79,16026,1,5,24,0,0,0.510058718006,0.0100587180060002,0.979882563988,0.00147147816033296,1,0,0.979882563988,0,0,0
MW1_BC,MW_BC,1,1703,40,79,16026,1,5,23,0,0,0.502662537896729,0.00266253789672943,0.994674924206541,0.00012188522201305,1,0,0.994674924206541,0,0,0
MW1_BC,MW_BC,1,1703,41,79,16026,1,5,26,0,0,0.496226715965385,0.00377328403461502,0.99245343193077,0.00591423911514911,1,0,0.99245343193077,0,0,0
MW1_BC,MW_BC,1,1703,42,79,16026,1,5,11,0,0,0.505184480164539,0.0051844801645391,0.989631039670922,0.00179813402914396,1,0,0.989631039670922,0,0,0
