f1,f2,requested_side,true_feasible
4.18489664679615,1.62754156008133,1,0
4.31910413342225,1.67170564133406,1,0
3.3763605853478,1.48760052432393,1,0
1.99955667533396,1.86534501499728,0,0
6.43892161435999,2.39406782060209,0,1
2.9470030869574,1.56622606288669,0,1
1.89334770348236,1.89903965160922,1,0
2.34478069614969,1.79386103375441,1,0
2.96019866311374,1.52948344260755,1,1
2.29342808730617,1.72358577136106,0,0
2.49162042643622,1.69401093981615,1,0
6.0328693738848,2.17256088677182,0,1
4.74008010974295,1.69415955094835,0,1
1.76189763248075,2.01056799404631,0,0
1.65671455263966,2.11285961749016,1,0
5.81485750930328,2.59617101102123,1,1
2.53254777422991,1.67204609096636,1,0
3.69444727126288,1.51133397025877,1,0
3.59100257386133,1.49862411746927,1,0
1.70610801297569,2.10226418295077,0,0
4.42529726016487,1.63930988598879,0,0
4.86252642039688,1.72859661034594,0,1
2.6099924086724,1.64365485874618,0,0
4.05319619235245,1.58891478166157,1,0
2.22310409377142,1.82269241879588,1,0
4.77597549390374,1.85346024599719,1,1
1.69319457826678,2.14181642577548,0,0
4.93314548506606,1.94468706418913,1,1
2.50915520261704,1.66898701621704,0,0
4.45565394616396,1.72125136595716,1,1
3.88920167569658,1.5745653916896,0,0
4.71465993220446,1.82627992791591,1,1
3.96139360027575,1.58106506534068,0,0
2.09427060930891,1.80586911433961,0,0
4.03493016092785,1.58841753067076,0,0
3.52376867817779,1.55651091453192,0,0
2.66427699468021,1.61396888411279,1,0
3.92417584555474,1.55598132132124,1,0
2.85931034783539,1.55380854503322,1,0
5.91381548415605,2.11668213706806,0,1
4.11049490725683,1.59728273456273,0,0
1.76542422534264,2.36089644344711,1,0
1.66245834688322,2.05220620050791,1,0
1.77024058595073,2.32340129782627,0,0
3.48804473853506,1.49037337571499,1,0
3.20600298233732,1.55468405642189,0,1
6.18422662147654,2.91779749413651,1,1
2.71106417078537,1.59713881017227,1,0
3.16381734492454,1.49762595552419,1,1
5.51838849896984,1.95296628009465,0,1
4.59336170032529,1.77427093492743,1,1
2.57498721686456,1.65139994388895,1,0
2.15950551189599,1.83306701050789,1,0
1.73031231165995,2.06284181050474,0,0
1.76787753074168,1.93993076035297,1,0
6.33838749469527,2.33760873465494,0,1
1.69551758309356,2.18645962906638,0,0
2.41455167166402,1.7418447288323,1,0
1.83921143081294,2.46982900508249,1,0
1.67316959435487,2.02593899072229,1,0
5.86724781207854,2.6402898583939,1,1
5.65497843126023,2.00685855331476,0,1
1.80416162161029,1.96679315847635,0,0
2.20221456529334,1.7533325896731,0,0
1.6977683957641,2.12143061175657,0,0
1.65694438630164,2.0811256662848,1,0
4.88240268980575,1.91295014668947,1,1
2.12842662491675,1.78701292023036,0,0
6.07810437141745,2.82292189891426,1,1
4.74008010974295,1.69415955094835,0,1
1.82856598993894,2.38965168357064,0,0
2.85957174254943,1.57567050431319,0,1
5.97242910037667,2.73039428984197,1,1
3.26275501186007,1.55460521264576,0,0
1.6924295753736,2.16347406980941,0,0
3.26823061437951,1.48997748775642,1,1
1.74725122525054,2.29286723236666,0,0
1.82934618532665,1.94724454189977,0,0
5.50638597335561,2.34470108502568,1,1
2.45223640271872,1.71731921145818,1,0
6.2374424719271,2.96609130783761,1,1
5.34907020325469,2.22698046331708,1,1
2.34478069614969,1.79386103375441,1,0
5.76261205288924,2.55268818921902,1,1
3.21554892483655,1.49313480486164,1,1
6.13457007906746,2.22605473556327,0,1
5.45099888618068,1.92695070248262,0,1
2.03428583431448,1.84747213899085,0,0
1.79733351388649,2.35564125624209,0,0
6.13111027593593,2.87007026765804,1,1
4.9261674781824,1.74728717739675,0,1
3.38693234200483,1.55499304004531,0,0
5.658574652025,2.46766742135458,1,1
5.40217547357687,2.26562383960899,1,1
2.50915520261704,1.66898701621704,0,0
1.70992743201111,1.97980010363404,1,0
2.75923832496795,1.58153673756988,1,0
2.5644339879359,1.65650680350546,0,0
4.05319619235245,1.58891478166157,1,0
4.5247250065634,1.74794606176727,1,1
1.67244999859273,2.18544751852965,1,0
3.15061201050888,1.55550800664502,0,1
2.06286528940065,1.82606225391142,0,0
5.119831107186,1.80852431565908,0,1
3.66783234493421,1.56140065227779,0,0
4.83196979024648,1.88204694200315,1,1
1.89334770348236,1.89903965160922,1,0
3.5447206527362,1.4937907681273,1,0
4.86252642039688,1.72859661034594,0,1
4.50701193777718,1.65084756748359,0,1
1.84652215906876,1.91039090523081,1,0
5.71051597496953,2.50985113454637,1,1
