setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,boundaryTargetMode,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP5_BC,1,10000,10013,47,102,1,0.34,102,0,0.00552766395769507,0.0108350289437143,102,30,3,0.00533947547505627,31.3725490196078,0.347381883899198,0.437543056213071,-0,0,0,0.366502496822305,1.17075599639855,zero,30,0,30,0,0.294117647058824,0.0116055638053756,0.012284367968762,0,0.0159333307811656,NaN,0.533333333333333,0.0219494910919082,0,0.0157246503436686,0.0166967472715334,0.0166967472715334,NaN,0,400,101,602,602,440,162,179,50,75,36,3389,0,108,108,108,108,102,102,102,102,102,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP5_BC,1,30000,30023,134,105,1,0.35,105,0,0.00119003182872739,0.00394272983427403,105,30,3,0.00549651887138146,30.4761904761905,0.265848563035245,0.553013782586454,0,0,0,0.522716831447304,1.21572024085113,zero,30,0,30,11,0.285714285714286,0.0154704886644079,0.0319568324907596,0,0.0357158218960994,NaN,0.366666666666667,-0.0147416558772432,0.0571428571428571,0.0240802290696404,0.035846938350859,0.035846938350859,NaN,0.366666666666667,400,116,632,632,405,227,253,55,85,41,6898,7,123,123,123,123,105,105,105,105,105,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP5_BC,1,50000,50024,221,82,1,0.28,82,0,0.00295530106570936,0.0108641523075775,82,30,3,0.00429251949955504,39.0243902439024,0.33864283941931,0.599290040615353,0,0,0,0.563935078980225,1.6389144240547,zero,17,13,30,17,0.365853658536585,0.0122086251811634,0.0613803247388145,0,0.0616971325759622,NaN,0.9,0.143341495150764,0.142857142857143,0.0239241116614149,0.0627093529274228,0.0656542802487046,0.0457003056298834,0.566666666666667,400,96,592,592,422,170,196,45,48,28,7752,10,84,84,84,84,82,82,82,82,82,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP5_BC,1,70000,70034,308,63,1,0.21,63,0,0.00701439318392705,0.0344149554756905,63,30,3,0.00329791132282887,50.7936507936508,0.195703131454269,0.453524606975179,0,0,0,0.411489782879566,2.71289222624652,zero,30,0,30,9,0.476190476190476,0.00108048413512703,0.0143083490315707,0,0.0143083490315707,NaN,0.2,-0.181566159083315,0.285714285714286,0.00852908178657207,0.0180484587120773,0.0180484587120773,NaN,0.3,400,57,514,514,310,204,227,25,100,25,5324,210,75,75,75,75,63,63,63,63,63,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP5_BC,1,100000,100164,439,77,1,0.26,77,0,0.00599447363423079,0.0107374101622986,77,30,3,0.00403078050567974,41.5584415584416,0.130787952336875,0.253062227465252,0,0,0,0.114770451963008,0.101357759611623,zero,30,0,30,1,0.38961038961039,0.00526069167672648,0.00622216429471522,0,0.00626446789096292,NaN,0.933333333333333,0.0216883386915722,0.0769230769230769,0.00726788961189763,0.00904217136509963,0.00904217136509963,NaN,0.0333333333333333,400,66,532,532,337,195,256,67,100,67,4788,1553,118,118,118,118,77,77,77,77,77,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP6_BC,1,10000,10021,48,43,1,0.15,43,0,0.00668122194849941,0.0101039212431009,43,30,3,0.00225095534732764,74.4186046511628,0.336458430717352,0.398579379603753,0,0,0,0.379935685775423,1.08449931064654,zero,18,12,30,30,0.697674418604651,0.00179252680902317,0.00217466783827517,0,0.0204864045971135,NaN,0.666666666666667,0.0236231752434927,1,0.0108294826139522,0.0231470257875976,0.0235144897542294,0.0206865541795073,1,400,39,478,478,418,60,178,38,44,16,1078,0,46,46,46,46,43,43,43,43,43,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP6_BC,1,30000,30031,135,159,1,0.53,159,0,0.00153665364207546,0.00454772567670246,159,30,3,0.00832330000523478,20.125786163522,0.295346778101084,0.42755289580067,-0,0,0,0.322427464995116,0.329753298714566,zero,23,7,30,7,0.188679245283019,0.00432198061617539,0.00714355025074445,0,0.00714355025074445,NaN,0.433333333333333,-0.0104600126316738,0.0943396226415094,0.00590780041044537,0.00806489967443279,0.00840718497268463,0.00612418724434076,0.233333333333333,400,162,724,724,488,236,344,76,85,64,8542,17,186,186,186,186,159,159,159,159,159,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP6_BC,1,50000,50041,222,153,1,0.51,153,0,0.00138061928715986,0.00446608080190642,153,30,3,0.00800921321258441,20.9150326797386,0.340294297026725,0.642220508757954,0,0,0,0.637057683942182,0.874289036188882,zero,30,0,30,2,0.196078431372549,0.0137362849097646,0.0222136479415529,0,0.0379631806810241,NaN,0.366666666666667,-0.00309585691297892,0.0392156862745098,0.0225442182295404,0.0396658480955003,0.0396658480955003,NaN,0.0666666666666667,400,180,760,760,455,305,334,61,100,61,12060,11,183,183,183,183,153,153,153,153,153,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP6_BC,1,70000,70051,309,126,1,0.42,126,0,0.000471152828854082,0.00246030415657096,126,30,3,0.00659582264565775,25.3968253968254,0.385298636485843,0.700643839835272,-0,0,0,0.77180869345633,0.817683385057597,zero,30,0,30,6,0.238095238095238,0.00447556056730164,0.013440627453754,0,0.0186570307974042,NaN,0.5,0.00209701226639783,0.142857142857143,0.0135979876327104,0.0227027080488481,0.0227027080488481,NaN,0.2,400,123,646,646,417,229,272,69,75,52,7110,5,153,153,153,153,126,126,126,126,126,0,30
D_tau_huber_default_epoch50_endpoint,D_tau_huber_default_epoch50_endpoint,ref_tau,1,1,30,2,50,32,epoch,zero,zero,3,feasible_endpoint,default,64:64:64,64:64:32,LIRCMOP6_BC,1,100000,100181,440,96,1,0.32,96,0,0.00371409865418888,0.0102699106492849,96,30,3,0.0050253886824059,33.3333333333333,0.162959040643216,0.671437600618494,0,0,0,1.50848845092635,1.22047727610967,zero,30,0,30,16,0.3125,0.025002011471406,0.0458003670172893,0,0.0458234247273255,NaN,1,0.288163305401344,0.0625,0.0308356637412223,0.0531098393441177,0.0531098393441177,NaN,0.533333333333333,400,96,592,592,315,277,239,39,100,39,7204,338,105,105,105,105,96,96,96,96,96,0,30
