problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
DASCMOP4_BC,1,true_train,0,NaN,NaN,NaN,23,0,0,0,1
DASCMOP4_BC,1,perturb,0.005,NaN,NaN,1,23,0.00495966710749939,0.103089265358424,0.140649207298541,0
DASCMOP4_BC,1,perturb,0.005,NaN,NaN,2,23,0.00497753510121123,0.0965081432875413,0.132892810121464,0
DASCMOP4_BC,1,perturb,0.005,NaN,NaN,3,23,0.00508801272439741,0.0945564721354192,0.147584070749875,0
DASCMOP4_BC,1,perturb,0.01,NaN,NaN,1,23,0.0104464838006569,0.397304133111499,0.517592913732386,0
DASCMOP4_BC,1,perturb,0.01,NaN,NaN,2,23,0.0104540358047442,0.415990389526178,0.552661900970603,0
DASCMOP4_BC,1,perturb,0.01,NaN,NaN,3,23,0.00998468629340833,0.376589153079,0.488938588776317,0
DASCMOP4_BC,1,perturb,0.02,NaN,NaN,1,23,0.0201237506275588,1.20604086634673,1.34255547682854,0
DASCMOP4_BC,1,perturb,0.02,NaN,NaN,2,23,0.0207867671923941,1.20265806411007,1.44994053044329,0
DASCMOP4_BC,1,perturb,0.02,NaN,NaN,3,23,0.0195092857082847,1.09130392728651,1.25353184335032,0
DASCMOP4_BC,1,perturb,0.05,NaN,NaN,1,23,0.0486637428472161,2.01908339356254,2.29238118574752,0
DASCMOP4_BC,1,perturb,0.05,NaN,NaN,2,23,0.0486310922154637,2.17324681048957,2.61653725608078,0
DASCMOP4_BC,1,perturb,0.05,NaN,NaN,3,23,0.049589500740263,2.06551642652084,2.47224486492263,0
DASCMOP4_BC,1,overfit,0,100,100,1,23,0.0759383925175522,0.562544060639612,0.583098692077407,0
DASCMOP4_BC,1,overfit,0,100,500,2,23,0.0718662377388674,0.197061293524229,0.215893726470811,0
DASCMOP4_BC,1,overfit,0,300,100,3,23,0.0734693282403337,0.492168122448044,0.500187337186831,0
DASCMOP4_BC,1,overfit,0,300,500,4,23,0.0719938759279826,0.16658293956078,0.172102876281982,0
DASCMOP4_BC,1,overfit,0,1000,100,5,23,0.0806182241832333,0.23779252764392,0.286256775950422,0
DASCMOP4_BC,1,overfit,0,1000,500,6,23,0.0786953622031871,0.305184591016914,0.31089121283389,0
DASCMOP4_BC,2,true_train,0,NaN,NaN,NaN,26,0,0,0,1
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,1,26,0.00502602990539418,0.0991913037214721,0.129937697667019,0
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,2,26,0.00483783653670761,0.0848665867272575,0.133964355455707,0
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,3,26,0.00507773781054449,0.101775775840314,0.126527241087198,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,1,26,0.0103494040159525,0.350642654388075,0.518448550584756,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,2,26,0.00975944510168105,0.328388902731961,0.435931282717715,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,3,26,0.0101491486243575,0.365302070808021,0.4820700852953,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,1,26,0.0191287854712376,1.0303025977661,1.29508084985362,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,2,26,0.0200349612578315,1.03694040303035,1.42721478842089,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,3,26,0.0200160633495269,1.04057748684378,1.34603357685014,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,1,26,0.0521851095929194,1.82627457972876,2.22876382191394,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,2,26,0.0499944541070954,2.03515780872208,2.33791882056492,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,3,26,0.0500003812521755,1.90081188929403,2.31403916440668,0
DASCMOP4_BC,2,overfit,0,100,100,1,26,0.0805298067705899,0.785292468492093,0.795166614857757,0
DASCMOP4_BC,2,overfit,0,100,500,2,26,0.0751455096913454,0.638647466793063,0.64833851721372,0
DASCMOP4_BC,2,overfit,0,300,100,3,26,0.0854195124968099,0.365683126387799,0.369001755064687,0
DASCMOP4_BC,2,overfit,0,300,500,4,26,0.0763575399323354,0.813258826572899,0.81512371659888,0
DASCMOP4_BC,2,overfit,0,1000,100,5,26,0.0770152028654226,0.383280102028134,0.421888626243177,0
DASCMOP4_BC,2,overfit,0,1000,500,6,26,0.0754096446042644,0.36127528339217,0.828669664528961,0
DASCMOP4_BC,3,true_train,0,NaN,NaN,NaN,22,0,0,0,1
DASCMOP4_BC,3,perturb,0.005,NaN,NaN,1,22,0.00506106351469739,0.090576123982961,0.109429874594901,0
DASCMOP4_BC,3,perturb,0.005,NaN,NaN,2,22,0.00503491482921613,0.0862631593083904,0.118171023510102,0
DASCMOP4_BC,3,perturb,0.005,NaN,NaN,3,22,0.00495758992972586,0.0836067090597077,0.114092601044492,0
DASCMOP4_BC,3,perturb,0.01,NaN,NaN,1,22,0.0102429203100391,0.326071769410653,0.412363632953006,0
DASCMOP4_BC,3,perturb,0.01,NaN,NaN,2,22,0.009602212368248,0.281402394499589,0.385171662579217,0
DASCMOP4_BC,3,perturb,0.01,NaN,NaN,3,22,0.00956564943001977,0.280349318628184,0.389419795059565,0
DASCMOP4_BC,3,perturb,0.02,NaN,NaN,1,22,0.0198751882754882,1.01066431876382,1.24355088959125,0
DASCMOP4_BC,3,perturb,0.02,NaN,NaN,2,22,0.0213608198004633,1.04688209395209,1.27952889818913,0
DASCMOP4_BC,3,perturb,0.02,NaN,NaN,3,22,0.0203746574417133,0.9888651456532,1.16872907939669,0
DASCMOP4_BC,3,perturb,0.05,NaN,NaN,1,22,0.0519477918107391,1.82797578200054,2.03909047473704,0
DASCMOP4_BC,3,perturb,0.05,NaN,NaN,2,22,0.0483567877937319,1.73504597079401,1.9709900211857,0
DASCMOP4_BC,3,perturb,0.05,NaN,NaN,3,22,0.0471880186079164,1.70796546737718,2.07634606391888,0
DASCMOP4_BC,3,overfit,0,100,100,1,22,0.0703981504163155,0.599998029098318,0.610537763666432,0
DASCMOP4_BC,3,overfit,0,100,500,2,22,0.0744956346374884,0.313553534275548,0.318516392508192,0
