addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm,problem,stage,stream,loss
1.0,0.494337989768463,0.493450558918712,-0.000887430849750792,0.414372981415493,0.414372981415493,-0.000933661609427931,0.00433708553414598,0.99507408365518,0.74253489565525,0.99507408365518,LIRCMOP7_BC,early,1.0,adversarial
2.0,0.493450558918712,0.492726667231133,-0.000723891687579303,0.309686786407661,0.309686786407661,-0.000768910407020979,0.00452839069362583,1.14562394141888,1.00420429373406,1.14562394141888,LIRCMOP7_BC,early,1.0,adversarial
3.0,0.492726667231133,0.49145123040856,-0.00127543682257286,0.63632169379854,0.63632169379854,-0.00134264147791732,0.00438155099175845,1.13579075179023,0.691600628630447,1.13579075179023,LIRCMOP7_BC,early,1.0,adversarial
4.0,0.49145123040856,0.489970888541644,-0.00148034186691604,0.682921420360641,0.682921420360641,-0.00156814193886059,0.00501741656172727,1.34706913038968,0.842997400920138,1.34706913038968,LIRCMOP7_BC,early,1.0,adversarial
5.0,0.489970888541644,0.489449214327202,-0.000521674214442047,0.295271341926942,0.295271341926942,-0.000552360355385397,0.00370910974200659,0.799694941498838,0.728190009978737,0.799694941498838,LIRCMOP7_BC,early,1.0,adversarial
20.0,0.481272807792325,0.480848409349999,-0.00042439844232578,0.274062779629362,0.274062779629362,-0.000456722104395382,0.00370188655742343,0.892301704173393,0.580413072627998,0.892301704173393,LIRCMOP7_BC,early,1.0,adversarial
40.0,0.472120164820972,0.471575949337129,-0.000544215483842925,0.408716112179943,0.408716112179943,-0.00060119544391382,0.00402099814379494,1.00713836589233,0.58342801301539,1.00713836589233,LIRCMOP7_BC,early,1.0,adversarial
60.0,0.464088163337675,0.463792858063408,-0.00029530527426691,0.270672780999203,0.270672780999203,-0.000377123682121921,0.0045931277599359,1.41423245660575,0.538387602475452,1.41423245660575,LIRCMOP7_BC,early,1.0,adversarial
80.0,0.459418464220786,0.459037848612692,-0.000380615608094159,0.341501964429841,0.341501964429841,-0.000454337859979625,0.00465210918853785,1.40409524609392,0.701343928735158,1.40409524609392,LIRCMOP7_BC,early,1.0,adversarial
100.0,0.45428591942964,0.45389371116256,-0.000392208267079808,0.447496759668499,0.447496759668499,-0.000443033499588222,0.00420996871940085,1.02003132103793,0.362324198610615,1.02003132103793,LIRCMOP7_BC,early,1.0,adversarial
120.0,0.450089308533759,0.450070528517992,-1.87800157674944e-05,0.0649699890890243,0.0649699890890243,-7.77193266681889e-05,0.00437933169002373,1.18909233762399,0.481535287187052,1.18909233762399,LIRCMOP7_BC,early,1.0,adversarial
